"","title","hit","url_val","contentlist"
"11","리만 사태 보다 더 안좋게 보는 전망이 많은데","1510","https://www.clien.net//service/board/park/14746479?od=T31&po=9&category=&groupCd=community","      지난주에 살짝 떨어지는 환율 보면서 희망을 좀 가졌는데   오늘도 또 오르는 환율 보고..   결국. 외국 결제 1~2주 연기한다고 메일 다 보냈네요.      어젯밤에 경제 전망 기사 보면서   침체는 이제 시작이고   미국+유럽 쌍으로 가서   리만 사태보다 충격이 더 갈거라는 전망이 좀 많은데      어찌될지 답답하네요..      "
"12","꽁돈이 생겨서 홈팟 스테리오 구성하려고 베바 들어갔는데...","583","https://www.clien.net//service/board/park/14746478?od=T31&po=9&category=&groupCd=community","      199달러에서 다시 299달러로 올랐네요      아니 할인이 끝났다고 하는게 올바르겠죠      다시 할인할 때 까지 기다려야겠습니다 ㅜㅜ   "
"13","전두환 차명재산 수백억 재력 관리자 지난달 야산에서 변사","4635","https://www.clien.net//service/board/park/14746477?od=T31&po=9&category=&groupCd=community","                   드디어 29만원의 비밀이 풀리나요?   하지만, 일하지 않는 검찰 에잇!!!   "
"14","솔직히 코로나 대응은 인정 안하기 뭐한가 보네요","1116","https://www.clien.net//service/board/park/14746476?od=T31&po=9&category=&groupCd=community","      https://news.naver.com/main/ranking/read.nhn?mid=etc&amp;sid1=111&amp;rankingType=popular_day&amp;oid=009&amp;aid=0004541773&amp;date=20200323&amp;type=1&amp;rankingSeq=5&amp;rankingSectionId=100      문재인 대통령이 다 잘하시고 있지만 코로나 대응은 보수고 뭐고 인정 안 할 수가 없죠. 최악의 메르스 대응에서 전세계가 인정하는 최고의 시스템을 보여주었는데, 이런 것을 인정하지 않는다면, 비합리적이라는 것을 인정하는 꼴 밖에는 안되는 것 같습니다.!!               "
"15","V50 미션이 안오네요","687","https://www.clien.net//service/board/park/14746475?od=T31&po=9&category=&groupCd=community","      Skt 체험단이 다음달인가 다다음달이 아마 반납으로 기억하는데....      몇달째 미션이 없더니 아예 미션문자도 안오네요      20일전엔 항상 미션문자가 왔었는데         반납이 가까워져오니 슬슬 아쉽네요      꽤나 잘써왔는데 ㅠㅠ      "
"16","전세기 타고 온 이란인 아내.news","4117","https://www.clien.net//service/board/park/14746473?od=T31&po=9&category=&groupCd=community","                1분40초부터      한국말 잘하네요ㄷㄷㄷ   "
"17","제가 가입한 보험들 ......","692","https://www.clien.net//service/board/park/14746472?od=T31&po=9&category=&groupCd=community","         100세 보장기간 이나   보험 가입한지 오래 되서 보험금 내야 할 기간은 10년 채 안 남은(? 가물가물)      실비보험         암보험         그리고 제가 죽고 나면   제가 남긴 대출금 청신하고   남은 분들 나눠 가지라고 가입한 종신보험ㄷㄷㄷ                  한달 보험비가 상당하네요 ㄷㄷㄷㄷㄷㄷ   "
"18","구로시장 칠공주 떡볶이 생각나네요","1360","https://www.clien.net//service/board/park/14746471?od=T31&po=9&category=&groupCd=community","      몇년전 갔었는데 어릴적 먹던 떡볶이 맛이더라구요         원래는 할머니 일곱분이 계서서 칠공주 였는데      몇분은 돌아가셨는지 ㅠㅡ 일곱분은 아니었어요         저기 시스템 재미났던 것은 오뎅은 서로 공유 하시더라구여 ㅎ      "
"19","홍준표 '왜 나까지 싸잡아 비난..오늘부터 조선일보 절독'","1382","https://www.clien.net//service/board/park/14746470?od=T31&po=9&category=&groupCd=community","         https://news.v.daum.net/v/20200323073505693            으앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ      EEJ 개꿀잼 ㅋㅋ   "
"20","'메르켈 총리도 자가격리…코로나19 양성판정'","3259","https://www.clien.net//service/board/park/14746469?od=T31&po=9&category=&groupCd=community","      앙겔라 메르켈 독일 총리가 최근 접촉한 의사가 코로나19 양성 판정을 받은 사실을 통보받고, 자택에서 자가 격리에 들어갔습니다.AP, AFP 통신 등은 현지시간으로 22일 메르켈 총리가 베를린에서 코로나19 확산 방지 추가 조치 발표 기자회견 직후 이같은 사실을 알고 바로 자가 격리를 결정했다고 전했습니다.   "
"21","배춧잎먹는 아기토끼들.avi","1034","https://www.clien.net//service/board/park/14746466?od=T31&po=9&category=&groupCd=community","         "
"22","이번 코로나 사태로 느낀점","600","https://www.clien.net//service/board/park/14746464?od=T31&po=9&category=&groupCd=community","      1. 생각보다 차이나 머니는 강력했다   정말로 중국 싫어하는 입장에서 (미세먼지 볼때마다 화가 남, 소국이 대국한테 대항해서 되겠냐 라는 말은 아직도 생각남)   이번에 전세계적으로 중국 혐오론 으로 중국이 고립될줄 알았는데 예상 보다 여론이 형성되지 않았다      2.생각보다 중국 의존도가 높았다   현차가 부품에 차질이 생기고....그외 중국에 의존한 제품들이 많았다   저렴하니까 당연하지 라는 의견은 이해되나 그것들을 극복하고 국산화를 시켜야 한다고 생각하고,   의존도가 높을수록 중국에 휘둘리니 반드시 국산화를 추진해야 된다 라고 생각합니다.      3. 우리나라 의료체계는 세계적이다   초반에 질본 상담원 보고 '에휴' 소리가 나왔는데 시간지나고 대응하는거 보니 아쉬운게 몇몇 있지만 다른 나라에 비해정말 잘하고 있는거 보고 뿌듯했습니다      4. 여론은...   기레기라고 불리는 이유를 다시한번 깨달았다                  "
"23","코로나로 인한 사업장 근로자 무급휴가가 가능한가요? 혹은 70%유급인건지 궁금합니다","132","https://www.clien.net//service/board/kin/14746463?od=T31&po=9&category=&groupCd=community","       자세히 알아본 내용은 아니구요.      지금처럼 매출이 장기화되면 어쩔 수 없는 부분이 있어서..   (직장내 확진자가 있다거나, 확진이 많이우려되는 직장환경은 아닙니다. 일반사무)      대충 찾아보면 근로자가 동의서를 쓰면 100%무급이 가능하다 / 아니다 동의하여도 70%의 유급이다. 도 조금 다른내용들이 보여서요.      이부분에서 정확한 근거의 출처나 답변 주실분 있으실까요?      5인이상 일반 법인 중소기업 사업장입니다.   "
"24","시민당에 민주당후보가 11번 부터군요","1977","https://www.clien.net//service/board/park/14746462?od=T31&po=9&category=&groupCd=community","      뉴스공장에서 해찬옹님의 답변으로 11번부터라고 하네요      이게 민주당 지지자의 투표집중이될지   오히려 포기하고 다른당을 찍게될지   걱정이 되네요.   어떤 쪽이 더 좋은지도 어렵고   여러모로 쉬운총선이 아닌 것 같습니다.      역대급으로 코로나때문에 대중에게 멀어진 총선이고   역대급으로 정치에 관심이 많은 사람들에겐 흥미로운 총선인 것 같습니다   "
"25","닉네임이라니?!","235","https://www.clien.net//service/board/park/14746461?od=T31&po=9&category=&groupCd=community","      전 바로 이전 닉네임이 소화기였다구여!      ~(-ㅅ-)~      ...암만 봐도 아레이나가 나은 듯.       +) 자작 소설 주인공 이름을 소화기 재료 이름으로 할려고 했던 건 안비밀..   "
"26","[단독] '무능한 정부가 수입해오고, 신천지가 유통한 '코로나''…요가학원 논란","4482","https://www.clien.net//service/board/park/14746459?od=T31&po=9&category=&groupCd=community","         http://www.goodmorningcc.com/news/articleView.html?idxno=229287      권징징을 지지자들과 같은 사고방식을 가졌겠죠?      "
"27","일본 코로나는 독감으로 돌려막을걸로 예상됩니다","709","https://www.clien.net//service/board/park/14746458?od=T31&po=9&category=&groupCd=community","      원래 독감으로 5000명쯤 사망자가 나왔었다고 할때   그건 그만큼 건강이 취약하다는 뜻이고   그런 집단에 해당하는 사람들이 이번엔 독감대신 코로나로 사망할 가능성이 높죠      그럼 그걸 다 독감사망으로 처리해버리면   예년 사망자 추세에서 좀 더 늘어나는 정도(만명정도)로 나와도   독감이 심해서 그렇지 코로나는 아니다고 대충 밀고 넘어갈 준비 다 되있죠      뭐 그렇게 흘러갈거같습니다   올림픽은 간보다 취소하고, 언론에선 국민 건강을 위한 과감한 판단!이럴거고      그와중에 타국가에선 자가격리에 지친 사람들이 슬슬 거리로 나오기 시작할거고   그걸 노려서 물타기해서 별 다를거 없다고 포장할거고   그럴거같네요         다만 한가지 변수는   국제사회에서 일본의 신용이 어떻게 되냐에 따라   타국가간에 국경봉쇄 다 끝내도 일본대상으로는 안풀어주는 그런 시나리오도 가능하지 않을까 싶어요      "
"28","6주기 구호공모","352","https://www.clien.net//service/board/park/14746457?od=T31&po=9&category=&groupCd=community","      기억/책임/약속/ 4.16세월호 참사 6주기에 함께 사용할 구호 1-2개를 공모합니다. (다음 예시를 보시고 선택해주셔도 좋고 새 구호를 제안해 주셔도 좋습니다)      https://docs.google.com/forms/d/e/1FAIpQLSexwKqUNx-hmOzTCF0tXI76LIfqmOwJUKdad8JXpoTjW7tr2g/viewform?fbzx=5716513232815400352   "
"29","국회의원 세비반납 내용(ytn뉴스)","977","https://www.clien.net//service/board/park/14746455?od=T31&po=9&category=&groupCd=community","      더불어 민주당. 세비 50% 반납   정의당.      세비 30% 반납   미래통합당.  국회의원 1인 100만원씩 1억1천8백만원      참눼.... 세비 50% 금액으로 환산해서 보여줘야 되는거 아닌가요...?   금액은 둘째치더라도 미통당 기대는 저버리지 않네요 ㅋㅋㅋ   내돈 뱉어내는건 싫은가봅니다 ㅋㅋ 어휴...0   "
"30","'망했다' 일본도착 꺼진 봉화","5047","https://www.clien.net//service/board/park/14746454?od=T31&po=9&category=&groupCd=community","      이미 운명은 정해졌습니다 !    ㅋㅋㅋㅋ   "
